"Y"	"t.j"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"143"	"2004"	2004	1980	"Satkhira"	"2004-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	6.190697674
"144"	"2004"	2004	1980	"Sonagazi"	"2004-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	2.778012685
"145"	"2004"	2004	1980	"Kustia"	"2004-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	3.367601163
"146"	"2005"	2005	1980	"Barisal"	"2005-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	5.14
"147"	"2005"	2005	1980	"Comilla"	"2005-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	3.682790698
"148"	"2005"	2005	1980	"Gazipur"	"2005-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	3.75872093
"149"	"2005"	2005	1980	"Rajshahi"	"2005-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	6.560465116
"150"	"2005"	2005	1980	"Rangpur"	"2005-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	1.60065407
"151"	"2005"	2005	1980	"Satkhira"	"2005-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	6.497674419
"152"	"2005"	2005	1980	"Sonagazi"	"2005-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	3.2
"153"	"2005"	2005	1980	"Kustia"	"2005-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	5.043953488
"154"	"2006"	2006	1980	"Barisal"	"2006-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	4.55
"155"	"2006"	2006	1980	"Comilla"	"2006-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	1.15
"156"	"2006"	2006	1980	"Gazipur"	"2006-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	5.1
"157"	"2006"	2006	1980	"Rajshahi"	"2006-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	5.1
"158"	"2006"	2006	1980	"Rangpur"	"2006-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	4.6
"159"	"2006"	2006	1980	"Satkhira"	"2006-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	5.8
"160"	"2006"	2006	1980	"Sonagazi"	"2006-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	5.17
"161"	"2006"	2006	1980	"Kustia"	"2006-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	6.1
"162"	"2007"	2007	1980	"Barisal"	"2007-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.636
"163"	"2007"	2007	1980	"Comilla"	"2007-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	3.18
"164"	"2007"	2007	1980	"Gazipur"	"2007-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	4.15
"165"	"2007"	2007	1980	"Rajshahi"	"2007-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	5.2
"166"	"2007"	2007	1980	"Rangpur"	"2007-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	2.4
"167"	"2007"	2007	1980	"Satkhira"	"2007-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	3.75
"168"	"2007"	2007	1980	"Sonagazi"	"2007-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	3.48
"169"	"2007"	2007	1980	"Kustia"	"2007-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	4.65
"170"	"2008"	2008	1980	"Barisal"	"2008-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.443
"171"	"2008"	2008	1980	"Comilla"	"2008-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	2.075
"172"	"2008"	2008	1980	"Gazipur"	"2008-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	5.1
"173"	"2008"	2008	1980	"Rajshahi"	"2008-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	3.81
"174"	"2008"	2008	1980	"Rangpur"	"2008-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	4.3
"175"	"2008"	2008	1980	"Satkhira"	"2008-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	4.775
"176"	"2008"	2008	1980	"Sonagazi"	"2008-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	1.5
"177"	"2008"	2008	1980	"Kustia"	"2008-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	5.025
"178"	"2009"	2009	1980	"Barisal"	"2009-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.25
"179"	"2009"	2009	1980	"Comilla"	"2009-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	3.5225
"180"	"2009"	2009	1980	"Gazipur"	"2009-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	4.25
"181"	"2009"	2009	1980	"Rajshahi"	"2009-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	4.505
"182"	"2009"	2009	1980	"Rangpur"	"2009-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3.75
"183"	"2009"	2009	1980	"Satkhira"	"2009-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	4.2625
"184"	"2009"	2009	1980	"Sonagazi"	"2009-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	1.55
"185"	"2009"	2009	1980	"Kustia"	"2009-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	5.4
"186"	"2010"	2010	1980	"Barisal"	"2010-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.42
