SL	Year	Location	Year of release	Rep	Variety	Group	Yield
2107	2003	Rangpur	1980	1	BR11	Medium	4.367209302
2108	2003	Satkhira	1980	1	BR11	Medium	7.36744186
2109	2003	Sonagazi	1980	1	BR11	Medium	1.94
2110	2004	Barisal	1980	1	BR11	Medium	3.834839484
2111	2004	Comilla	1980	1	BR11	Medium	2.373575
2112	2004	Gazipur	1980	1	BR11	Medium	4.486976744
2113	2004	Rajshahi	1980	1	BR11	Medium	4.246697674
2114	2004	Rangpur	1980	1	BR11	Medium	3.73
2115	2004	Satkhira	1980	1	BR11	Medium	6.733023256
2116	2004	Sonagazi	1980	1	BR11	Medium	3.872093023
2117	2004	Kustia	1980	1	BR11	Medium	3.434883721
2118	2005	Barisal	1980	1	BR11	Medium	5.233
2119	2005	Comilla	1980	1	BR11	Medium	3.879534884
2120	2005	Gazipur	1980	1	BR11	Medium	4.405116279
2121	2005	Rajshahi	1980	1	BR11	Medium	5.61872093
2122	2005	Rangpur	1980	1	BR11	Medium	2.955203965
2123	2005	Satkhira	1980	1	BR11	Medium	6.303255814
2124	2005	Sonagazi	1980	1	BR11	Medium	3.73
2125	2005	Kustia	1980	1	BR11	Medium	4.906395349
2126	2006	Barisal	1980	1	BR11	Medium	3.24
2127	2006	Comilla	1980	1	BR11	Medium	0.51
2128	2006	Gazipur	1980	1	BR11	Medium	4.05
2129	2006	Rajshahi	1980	1	BR11	Medium	5.4
2130	2006	Rangpur	1980	1	BR11	Medium	5.6
2131	2006	Satkhira	1980	1	BR11	Medium	4.8
2132	2006	Sonagazi	1980	1	BR11	Medium	5.87
2133	2006	Kustia	1980	1	BR11	Medium	5
2134	2007	Barisal	1980	1	BR11	Medium	2.8505
2135	2007	Comilla	1980	1	BR11	Medium	3.28
2136	2007	Gazipur	1980	1	BR11	Medium	4.15
2137	2007	Rajshahi	1980	1	BR11	Medium	5.9
2138	2007	Rangpur	1980	1	BR11	Medium	2.9
2139	2007	Satkhira	1980	1	BR11	Medium	4.25
2140	2007	Sonagazi	1980	1	BR11	Medium	2.89
2141	2007	Kustia	1980	1	BR11	Medium	5.1
2142	2008	Barisal	1980	1	BR11	Medium	2.82525
2143	2008	Comilla	1980	1	BR11	Medium	2.36
2144	2008	Gazipur	1980	1	BR11	Medium	4.05
2145	2008	Rajshahi	1980	1	BR11	Medium	4.53
2146	2008	Rangpur	1980	1	BR11	Medium	4.1
2147	2008	Satkhira	1980	1	BR11	Medium	4.525
2148	2008	Sonagazi	1980	1	BR11	Medium	2.1
2149	2008	Kustia	1980	1	BR11	Medium	5.2
2150	2009	Barisal	1980	1	BR11	Medium	2.8
2151	2009	Comilla	1980	1	BR11	Medium	3.58
2152	2009	Gazipur	1980	1	BR11	Medium	4.575
2153	2009	Rajshahi	1980	1	BR11	Medium	5.215
2154	2009	Rangpur	1980	1	BR11	Medium	4.65
2155	2009	Satkhira	1980	1	BR11	Medium	4.3875
2156	2009	Sonagazi	1980	1	BR11	Medium	1.6
2157	2009	Kustia	1980	1	BR11	Medium	5.3
2158	2010	Barisal	1980	1	BR11	Medium	3.45
2159	2010	Comilla	1980	1	BR11	Medium	4.8
2160	2010	Gazipur	1980	1	BR11	Medium	5.1
2161	2010	Rajshahi	1980	1	BR11	Medium	7.0075
2162	2010	Rangpur	1980	1	BR11	Medium	4.8
2163	2010	Satkhira	1980	1	BR11	Medium	4.45625
2164	2010	Sonagazi	1980	1	BR11	Medium	5.12
2165	2010	Kustia	1980	1	BR11	Medium	6
2166	2011	Barisal	1980	1	BR11	Medium	4.1
2167	2011	Comilla	1980	1	BR11	Medium	1.87
2168	2011	Gazipur	1980	1	BR11	Medium	5.5
2169	2011	Rajshahi	1980	1	BR11	Medium	8.8
2170	2011	Rangpur	1980	1	BR11	Medium	4
2171	2011	Satkhira	1980	1	BR11	Medium	4.421875
2172	2011	Sonagazi	1980	1	BR11	Medium	7
2173	2011	Kustia	1980	1	BR11	Medium	4.77
2174	2012	Kustia	1980	1	BR11	Medium	4.84
2175	2012	Sonagazi	1980	1	BR11	Medium	4.9
2176	2012	Comilla	1980	1	BR11	Medium	4.27
2177	2012	Gazipur	1980	1	BR11	Medium	4.114
2178	2012	Rajshahi	1980	1	BR11	Medium	4.83
2179	2012	Rangpur	1980	1	BR11	Medium	2.15
2180	2012	Satkhira	1980	1	BR11	Medium	3.07
2181	2012	Barisal	1980	1	BR11	Medium	3.99
2182	2013	Kustia	1980	1	BR11	Medium	5.6
2183	2013	Sonagazi	1980	1	BR11	Medium	4.82
2184	2013	Comilla	1980	1	BR11	Medium	4.25
2185	2013	Gazipur	1980	1	BR11	Medium	5.9
2186	2013	Rajshahi	1980	1	BR11	Medium	4.86
2187	2013	Rangpur	1980	1	BR11	Medium	3.5
2188	2013	Barisal	1980	1	BR11	Medium	5.06
2189	2014	Kustia	1980	1	BR11	Medium	5.73
2190	2014	Sonagazi	1980	1	BR11	Medium	3.8
2191	2014	Comilla	1980	1	BR11	Medium	4.23
2192	2014	Gazipur	1980	1	BR11	Medium	7
2193	2014	Rajshahi	1980	1	BR11	Medium	4.639604651
2194	2014	Rangpur	1980	1	BR11	Medium	5.2
2195	2014	Satkhira	1980	1	BR11	Medium	6.24
2196	2014	Bhanga	1980	1	BR11	Medium	3.5
2197	2015	Kustia	1980	1	BR11	Medium	6.35
2198	2015	Sonagazi	1980	1	BR11	Medium	3.055311628
2199	2015	Comilla	1980	1	BR11	Medium	4.920566561
2200	2015	Gazipur	1980	1	BR11	Medium	7.37716454
2201	2015	Rajshahi	1980	1	BR11	Medium	6.750581395
2202	2015	Rangpur	1980	1	BR11	Medium	3.2
2203	2015	Satkhira	1980	1	BR11	Medium	6.03875969
2204	2015	Bhanga	1980	1	BR11	Medium	3.75
2205	2001	Barisal	1980	2	BR11	Medium	3.72
2206	2001	Comilla	1980	2	BR11	Medium	4.89244186
2207	2001	Gazipur	1980	2	BR11	Medium	3.999767442
2208	2001	Rajshahi	1980	2	BR11	Medium	3.96
2209	2001	Rangpur	1980	2	BR11	Medium	3.953284884
2210	2001	Satkhira	1980	2	BR11	Medium	7.053313953
2211	2001	Sonagazi	1980	2	BR11	Medium	3.999767442
2212	2002	Barisal	1980	2	BR11	Medium	5.05
2213	2002	Comilla	1980	2	BR11	Medium	5.4
2214	2002	Gazipur	1980	2	BR11	Medium	3.976218605
2215	2002	Rajshahi	1980	2	BR11	Medium	4.259
