SL	Year	Location	Year of release	Rep	Variety	Group	Yield
7729	2007-2008	Satkhira	1970	3	BR1	Short	8.50
7730	2007-2008	Kustia	1970	3	BR1	Short	6.84
7731	2007-2008	Rajshahi	1970	3	BR1	Short	4.50
7732	2008-2009	Barisal	1970	3	BR1	Short	5.39
7733	2008-2009	Bhanga	1970	3	BR1	Short	5.96
7734	2008-2009	Comilla	1970	3	BR1	Short	5.20
7735	2008-2009	Gazipur	1970	3	BR1	Short	4.70
7736	2008-2009	Habiganj	1970	3	BR1	Short	6.50
7737	2008-2009	Rajshahi	1970	3	BR1	Short	3.69
7738	2008-2009	Rangpur	1970	3	BR1	Short	2.40
7739	2008-2009	Kustia	1970	3	BR1	Short	7.70
7740	2008-2009	Satkhira	1970	3	BR1	Short	6.94
7741	2009-2010	Barisal	1970	3	BR1	Short	4.90
7742	2009-2010	Bhanga	1970	3	BR1	Short	6.23
7743	2009-2010	Comilla	1970	3	BR1	Short	5.80
7744	2009-2010	Gazipur	1970	3	BR1	Short	4.31
7745	2009-2010	Habiganj	1970	3	BR1	Short	5.90
7746	2009-2010	Rajshahi	1970	3	BR1	Short	4.09
7747	2009-2010	Rangpur	1970	3	BR1	Short	2.40
7748	2009-2010	Satkhira	1970	3	BR1	Short	5.97
7749	2009-2010	Kustia	1970	3	BR1	Short	6.22
7750	2010-2011	Barisal	1970	3	BR1	Short	5.19
7751	2010-2011	Bhanga	1970	3	BR1	Short	6.51
7752	2010-2011	Comilla	1970	3	BR1	Short	5.76
7753	2010-2011	Gazipur	1970	3	BR1	Short	2.50
7754	2010-2011	Habiganj	1970	3	BR1	Short	5.30
7755	2010-2011	Rangpur	1970	3	BR1	Short	2.50
7756	2010-2011	Satkhira	1970	3	BR1	Short	5.00
7757	2010-2011	Sonagazi	1970	3	BR1	Short	5.10
7758	2010-2011	Kustia	1970	3	BR1	Short	4.73
7759	2010-2011	Rajshahi	1970	3	BR1	Short	5.46
7760	2011-2012	Barisal	1970	3	BR1	Short	5.19
7761	2011-2012	Bhanga	1970	3	BR1	Short	6.51
7762	2011-2012	Comilla	1970	3	BR1	Short	5.52
7763	2011-2012	Gazipur	1970	3	BR1	Short	5.66
7764	2011-2012	Habiganj	1970	3	BR1	Short	5.30
7765	2011-2012	Rangpur	1970	3	BR1	Short	2.50
7766	2011-2012	Satkhira	1970	3	BR1	Short	6.39
7767	2011-2012	Sonagazi	1970	3	BR1	Short	5.10
7768	2011-2012	Kustia	1970	3	BR1	Short	4.73
7769	2011-2012	Rajshahi	1970	3	BR1	Short	6.83
7770	2012-2013	Barisal	1970	3	BR1	Short	5.47
7771	2012-2013	Bhanga	1970	3	BR1	Short	7.29
7772	2012-2013	Comilla	1970	3	BR1	Short	5.31
7773	2012-2013	Gazipur	1970	3	BR1	Short	5.63
7774	2012-2013	Habiganj	1970	3	BR1	Short	5.60
7775	2012-2013	Rangpur	1970	3	BR1	Short	6.20
7776	2012-2013	Satkhira	1970	3	BR1	Short	6.80
7777	2012-2013	Sonagazi	1970	3	BR1	Short	4.42
7778	2012-2013	Kustia	1970	3	BR1	Short	6.33
7779	2012-2013	Rajshahi	1970	3	BR1	Short	4.30
7780	2013-2014	Barisal	1970	3	BR1	Short	4.61
7781	2013-2014	Bhanga	1970	3	BR1	Short	5.80
7782	2013-2014	Comilla	1970	3	BR1	Short	5.17
7783	2013-2014	Gazipur	1970	3	BR1	Short	6.30
7784	2013-2014	Habiganj	1970	3	BR1	Short	6.08
7785	2013-2014	Rangpur	1970	3	BR1	Short	5.70
7786	2013-2014	Satkhira	1970	3	BR1	Short	5.98
7787	2013-2014	Sonagazi	1970	3	BR1	Short	5.04
7788	2013-2014	Kustia	1970	3	BR1	Short	6.01
7789	2013-2014	Rajshahi	1970	3	BR1	Short	4.74
7790	2014-2015	Barisal	1970	3	BR1	Short	4.07
7791	2014-2015	Bhanga	1970	3	BR1	Short	7.44
7792	2014-2015	Comilla	1970	3	BR1	Short	4.57
7793	2014-2015	Gazipur	1970	3	BR1	Short	6.90
7794	2014-2015	Habiganj	1970	3	BR1	Short	5.96
7795	2014-2015	Rangpur	1970	3	BR1	Short	3.05
7796	2014-2015	Satkhira	1970	3	BR1	Short	5.71
7797	2014-2015	Sonagazi	1970	3	BR1	Short	5.06
7798	2014-2015	Kustia	1970	3	BR1	Short	5.69
7799	2014-2015	Rajshahi	1970	3	BR1	Short	5.18
7800	2015-2016	Barisal	1970	3	BR1	Short	5.32
7801	2015-2016	Bhanga	1970	3	BR1	Short	5.95
7802	2015-2016	Comilla	1970	3	BR1	Short	5.80
7803	2015-2016	Gazipur	1970	3	BR1	Short	5.73
7804	2015-2016	Habiganj	1970	3	BR1	Short	6.00
7805	2015-2016	Rangpur	1970	3	BR1	Short	4.37
7806	2015-2016	Satkhira	1970	3	BR1	Short	5.10
7807	2015-2016	Sonagazi	1970	3	BR1	Short	4.97
7808	2015-2016	Kustia	1970	3	BR1	Short	6.40
7809	2015-2016	Rajshahi	1970	3	BR1	Short	6.08
2056	2001-2002	Barisal	1983	1	BR12	Long	7.48
2057	2001-2002	Bhanga	1983	1	BR12	Long	5.70
2058	2001-2002	Comilla	1983	1	BR12	Long	4.62
2059	2001-2002	Habiganj	1983	1	BR12	Long	4.57
2060	2001-2002	Rajshahi	1983	1	BR12	Long	5.10
2061	2001-2002	Rangpur	1983	1	BR12	Long	7.07
2062	2001-2002	Satkhira	1983	1	BR12	Long	4.25
2063	2002-2003	Barisal	1983	1	BR12	Long	5.61
2064	2002-2003	Bhanga	1983	1	BR12	Long	6.25
2065	2002-2003	Comilla	1983	1	BR12	Long	4.94
2066	2002-2003	Gazipur	1983	1	BR12	Long	4.92
2067	2002-2003	Habiganj	1983	1	BR12	Long	4.55
2068	2002-2003	Rajshahi	1983	1	BR12	Long	4.24
2069	2002-2003	Rangpur	1983	1	BR12	Long	4.54
2070	2002-2003	Satkhira	1983	1	BR12	Long	3.45
2071	2003-2004	Barisal	1983	1	BR12	Long	4.97
2072	2003-2004	Bhanga	1983	1	BR12	Long	5.40
2073	2003-2004	Comilla	1983	1	BR12	Long	4.50
2074	2003-2004	Gazipur	1983	1	BR12	Long	2.90
2075	2003-2004	Habiganj	1983	1	BR12	Long	5.93
2076	2003-2004	Rajshahi	1983	1	BR12	Long	2.54
2077	2003-2004	Rangpur	1983	1	BR12	Long	6.04
2078	2003-2004	Satkhira	1983	1	BR12	Long	4.34
2079	2004-2005	Barisal	1983	1	BR12	Long	6.76
2080	2004-2005	Bhanga	1983	1	BR12	Long	6.12
2081	2004-2005	Comilla	1983	1	BR12	Long	5.12
2082	2004-2005	Gazipur	1983	1	BR12	Long	4.15
2083	2004-2005	Habiganj	1983	1	BR12	Long	5.02
2084	2004-2005	Rajshahi	1983	1	BR12	Long	4.50
2085	2004-2005	Rangpur	1983	1	BR12	Long	4.43
2086	2004-2005	Satkhira	1983	1	BR12	Long	3.89
2087	2004-2005	Kustia	1983	1	BR12	Long	4.35
2088	2005-2006	Barisal	1983	1	BR12	Long	6.02
2089	2005-2006	Bhanga	1983	1	BR12	Long	6.92
2090	2005-2006	Comilla	1983	1	BR12	Long	5.40
2091	2005-2006	Gazipur	1983	1	BR12	Long	6.25
2092	2005-2006	Habiganj	1983	1	BR12	Long	5.02
2093	2005-2006	Rajshahi	1983	1	BR12	Long	3.96
2094	2005-2006	Rangpur	1983	1	BR12	Long	3.06
