"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Group"	"mean.yield"
"2012"	2012	1983	"Kustia"	"2012-2013-Kustia"	"BR12"	"Long"	5.17666666666667
"2012"	2012	1983	"Rajshahi"	"2012-2013-Rajshahi"	"BR12"	"Long"	4.83666666666667
"2013"	2013	1983	"Barisal"	"2013-2014-Barisal"	"BR12"	"Long"	4.64666666666667
"2013"	2013	1983	"Bhanga"	"2013-2014-Bhanga"	"BR12"	"Long"	6.13333333333333
"2013"	2013	1983	"Comilla"	"2013-2014-Comilla"	"BR12"	"Long"	4.28
"2013"	2013	1983	"Gazipur"	"2013-2014-Gazipur"	"BR12"	"Long"	5.7
"2013"	2013	1983	"Habiganj"	"2013-2014-Habiganj"	"BR12"	"Long"	5.28
"2013"	2013	1983	"Rangpur"	"2013-2014-Rangpur"	"BR12"	"Long"	5.8
"2013"	2013	1983	"Satkhira"	"2013-2014-Satkhira"	"BR12"	"Long"	5.77
"2013"	2013	1983	"Sonagazi"	"2013-2014-Sonagazi"	"BR12"	"Long"	4.75333333333333
"2013"	2013	1983	"Kustia"	"2013-2014-Kustia"	"BR12"	"Long"	3.49666666666667
"2013"	2013	1983	"Rajshahi"	"2013-2014-Rajshahi"	"BR12"	"Long"	4.73333333333333
"2014"	2014	1983	"Barisal"	"2014-2015-Barisal"	"BR12"	"Long"	4.57666666666667
"2014"	2014	1983	"Bhanga"	"2014-2015-Bhanga"	"BR12"	"Long"	6.76666666666667
"2014"	2014	1983	"Comilla"	"2014-2015-Comilla"	"BR12"	"Long"	4.59333333333333
"2014"	2014	1983	"Gazipur"	"2014-2015-Gazipur"	"BR12"	"Long"	6.13333333333333
"2014"	2014	1983	"Habiganj"	"2014-2015-Habiganj"	"BR12"	"Long"	5.49666666666667
"2014"	2014	1983	"Rangpur"	"2014-2015-Rangpur"	"BR12"	"Long"	2.65
"2014"	2014	1983	"Satkhira"	"2014-2015-Satkhira"	"BR12"	"Long"	5.43666666666667
"2014"	2014	1983	"Sonagazi"	"2014-2015-Sonagazi"	"BR12"	"Long"	5.11333333333333
"2014"	2014	1983	"Kustia"	"2014-2015-Kustia"	"BR12"	"Long"	4.89
"2014"	2014	1983	"Rajshahi"	"2014-2015-Rajshahi"	"BR12"	"Long"	4.62666666666667
"2015"	2015	1983	"Barisal"	"2015-2016-Barisal"	"BR12"	"Long"	4.13333333333333
"2015"	2015	1983	"Bhanga"	"2015-2016-Bhanga"	"BR12"	"Long"	6.27666666666667
"2015"	2015	1983	"Comilla"	"2015-2016-Comilla"	"BR12"	"Long"	3.97
"2015"	2015	1983	"Gazipur"	"2015-2016-Gazipur"	"BR12"	"Long"	6.74333333333333
"2015"	2015	1983	"Habiganj"	"2015-2016-Habiganj"	"BR12"	"Long"	5.76666666666667
"2015"	2015	1983	"Rangpur"	"2015-2016-Rangpur"	"BR12"	"Long"	4.89333333333333
"2015"	2015	1983	"Satkhira"	"2015-2016-Satkhira"	"BR12"	"Long"	5.31
